genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Phascogale,calura,red-tailed phascogale,0.0347,-1.4596705,28.8,ml O2/h,3.456,0.53857373,c,land,yes,dasyuromorphia,Pusey et al. (2013)

Phascolarctos,cinereus,koala,4.765,0.6780629,1040.6318,ml O2/h,124.88,2.09647834,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Phataginus,tricuspis,tree pangolin,2.0475,0.31122391,553.55,ml O2/h,66.43,1.8223381,c,land,yes,pholidota,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Phataginus,tetradactyla,long-tailed pangolin,1.43,0.15533604,229,ml O2/h,27.48,1.43901673,c,land,yes,pholidota,"White and Seymour, 2003"

Phenacomys,intermedius,western heather vole,0.0215,-1.6675615,67.3,ml O2/h,8.08,0.90719631,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Philander,opossum,gray four-eyed opossum,0.33266667,-0.4779907,212,ml O2/h,25.44,1.40551711,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Ribeiro and Bicudo 2007; Genoud 2017 dataset"

Philantomba,monticola,blue duiker,4.4,0.64345268,1890.04975,ml O2/h,226.8059701,2.35565448,o,land,yes,artiodactyla,Khaliq et al. (2015)

Phodopus,sungorus,winter white dwarf hamster,0.0313,-1.5044557,51.848,ml O2/h,6.2218,0.79391606,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Trojan 1977; Genoud 2017 dataset"

Phodopus,roborovskii,roborovski dwarf hamster,0.0218,-1.6615435,30.1,ml O2/h,3.612,0.55774774,h,land,yes,rodentia,Chi & Wang (2011)

Phyllostomus,discolor,pale spear-nosed bat,0.0335,-1.4749552,34.8890588,ml O2/h,4.19,0.6218705,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Phyllostomus,elongatus,lesser spear-nosed bat,0.0356,-1.44855,38.8,ml O2/h,4.66,0.66801297,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Phyllostomus,hastatus,greater spear-nosed bat,0.0842,-1.0746879,71.7516429,ml O2/h,8.61,0.9350131,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Phyllotis,darwini,darwin's leaf mouse,0,-1.318759,60.8,ml O2/h,7.3,0.86332286,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Phyllotis,magister,master leaf-eared mouse,0.05271667,-1.2780521,62.5833333,ml O2/h,7.51,0.87563993,o,land,yes,rodentia,"White and Seymour, 2003; Rezende et al., 2001; Genoud 2017 dataset"

Phyllotis,xanthopygus,yellow-rumped leaf-eared mouse,0.03862857,-1.4130914,46.8428571,ml O2/h,5.62,0.74982462,o,land,yes,rodentia,"White and Seymour, 2003; Bozinovic and Marquet 1991; Genoud 2017 dataset"

Phyllotis,darwini,darwin's leaf-eared mouse,0.0721,-1.1420647,66.95,ml O2/h,8.034,0.90493183,o,land,yes,rodentia,Bozinovic et al. (2007)

Pipistrellus,pipistrellus,common pipistrelle,0.0046,-2.3372422,8,ml O2/h,0.96,-0.0177288,c,land,yes,chiroptera,Genoud & Christe (2011)

Planigale,gilesi,giles'/paucident planigale,0.009,-2.0457575,9.865,ml O2/h,1.18,0.07327834,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Planigale,ingrami,long-tailed planigale,0.0071,-2.1487417,11.3,ml O2/h,1.36,0.13225969,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Planigale,maculata,common planigale,0.010225,-1.9903367,11.6625,ml O2/h,1.4,0.1459729,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Nelson 1969; Genoud 2017 dataset"

Planigale,tenuirostris,narrow-nosed planigale,0.00598,-2.2232988,7.948,ml O2/h,0.95,-0.0205609,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Chappell and Dawson 1994; Genoud 2017 dataset"

Platyrrhinus,lineatus,white-lined broad-nosed bat,0.0219,-1.6595559,36.4333333,ml O2/h,4.37,0.64068015,h,land,yes,chiroptera,"White and Seymour, 2003; McNab 1969, 1989; Genoud 2017 dataset"

Plecotus,auritus,brown long-eared bat,0.01067,-1.9718356,14.544,ml O2/h,1.75,0.24186511,c,land,yes,chiroptera,"White and Seymour, 2003; McLean and Speakman 2000; Genoud 2017 dataset"

Podomys,floridanus,florida mouse,0.0308,-1.5114493,51.7,ml O2/h,6.2,0.79267179,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Glenn 1970; Genoud 2017 dataset"

Potorous,tridactylus,long-nosed potoroo,0.98266667,-0.0075938,444.647,ml O2/h,53.36,1.72719661,o,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hudson and Dawson 1975; Genoud 2017 dataset"

Potos,flavus,kinkajou,2.38575,0.37762493,767.4275,ml O2/h,92.09,1.9642186,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Muller and Kulzer 1977; Genoud 2017 dataset"

Priodontes,maximus,giant armadillo,45.19,1.65504234,3026.95333,ml O2/h,363.23,2.56018697,c,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017 dataset"

Procavia,capensis,rock hyrax,2.4,0.38021124,653.631,ml O2/h,78.44,1.89451389,o,land,yes,hyracoidea,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Procyon,cancrivorus,crab-eating raccoon,1.16,0.06445799,54.34,kcal/day,54.34,1.73511963,o,land,yes,carnivora,"White and Seymour, 2003; Scholander et al., 1950"

Procyon,lotor,raccoon,6.12875,0.78737191,1804.5,ml O2/h,216.54,2.33553813,o,land,yes,carnivora,"White and Seymour, 2003; McNab 1995; Genoud 2017 dataset"

Proechimys,semispinosus,tome's spiny rat,0.498,-0.3027707,313.7,ml O2/h,37.64,1.57569576,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Propithecus,verreauxi,verreaux's sifaka,3.35,0.52504481,670,ml O2/h,80.4,1.90525605,h,land,yes,primates,"White and Seymour, 2003"

Proteles,cristata,aardwolf,8.1,0.90848502,2194,ml O2/h,263.28,2.42041787,c,land,yes,carnivora,"White and Seymour, 2003; Anderson et al., 1997; Genoud 2017 dataset"

Pseudalopex,culpaeus,culpeo/andean fox/zorro,5.418,0.733839,2034.5,ml O2/h,244.14,2.38763894,o,land,yes,carnivora,Silva et al. (2004)

Pseudantechinus,macdonnellensis,fat-tailed false antechinus,0.0431,-1.3655227,27.2,ml O2/h,3.26,0.51375015,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Nelson 1969; Genoud 2017 dataset"

Pseudocheirus,occidentalis,western ringtail possum,0.861,-0.0649968,409,ml O2/h,49.08,1.69090455,h,land,yes,diprotodontia,"White and Seymour, 2003"

Pseudocheirus,peregrinus,common ringtail possum,0.8755,-0.0577438,411.895,ml O2/h,49.43,1.69396777,h,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Pseudomys,gracilicaudatus,eastern chestnut mouse,0.0798,-1.0979971,83.8,ml O2/h,10.06,1.00242526,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson and Dawson 1982; Genoud 2017 dataset"

Pseudomys,hermannsburgensis,sandy inland mouse,0.01174545,-1.9301302,17.5454545,ml O2/h,2.11,0.32334587,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Tomlinson et al., 2007; Genoud 2017 dataset"

Pseudomys,albocinereus,ash-grey mouse,0.0279,-1.5543958,43.52,ml O2/h,5.2224,0.71787013,o,land,yes,rodentia,Barker et al. (2012)

Pteronotus,davyi,davy's naked-backed bat,0.0094,-2.0268721,15.3,ml O2/h,1.84,0.26387268,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso et al., 1992; Genoud 2017 dataset"

Pteronotus,parnellii,parnell's mustached bat,0.0192,-1.7166988,30.7,ml O2/h,3.68,0.56631962,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso et al., 1992; Genoud 2017 dataset"

Pteronotus,personatus,wagner's mustached bat,0.014,-1.853872,23,ml O2/h,2.76,0.44090908,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso et al., 1992; Genoud 2017 dataset"

Pteronotus,quadridens,sooty mustached bat,0.0049,-2.3098039,6.1,ml O2/h,0.73,-0.1354889,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Rodriguez-Duran 1995; Genoud 2017 dataset"

Pteropus,giganteus,indian flying flox,0.5622,-0.2501092,290.7,ml O2/h,34.88,1.54262628,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Armstrong 2001; Genoud 2017 dataset"

Pteropus,hypomelanus,small flying fox,0.5208,-0.283329,290.1,ml O2/h,34.81,1.54172897,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Armstrong 2001; Genoud 2017 dataset"

Pteropus,poliocephalus,grey-headed flying fox,0.6434,-0.1915189,316.80356,ml O2/h,38.02,1.5799713,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bartholomew et al., 1964; Genoud 2017 dataset"

Pteropus,pumilus,little golden-mantled flying fox,0.1942,-0.7117508,126.4,ml O2/h,15.17,1.18092832,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Armstrong 2001; Genoud 2017 dataset"

Pteropus,rodricensis,rodrigues flying fox,0.2545,-0.5943122,134.9,ml O2/h,16.19,1.2091932,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Armstrong 2001; Genoud 2017 dataset"

Pteropus,scapulatus,little red flying fox,0.3776,-0.422968,242.6152,ml O2/h,29.11,1.46409925,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bartholomew et al., 1964; Genoud 2017 dataset"

Pteropus,vampyrus,large flying fox,1.0243,0.01042717,804.1,ml O2/h,96.49,1.98449131,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Armstrong 2001; Genoud 2017 dataset"

Ptilocercus,lowii,pen-tailed treeshrew,0.058,-1.236572,43.5,ml O2/h,5.22,0.7176705,h,land,yes,scandentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Whittow and Gould 1976; Genoud 2017 dataset"

Puma,concolor,cougar,37.2,1.57054294,8842,ml O2/h,1061.04,3.02573176,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Raphicerus,campestris,steenbok,8.5,0.92941893,3269.15423,ml O2/h,392.2985075,2.59361666,h,land,yes,artiodactyla,Khaliq et al. (2015)

Rattus,norvegicus,rat,0.29,-0.537602,0.25,liter O2/h,30,1.47712125,o,land,yes,rodentia,"Schmidt-Nielsen, 1997"

Rattus,colletti,dusky rat,0.1657,-0.7806775,123,ml O2/h,14.76,1.16908636,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hinds et al., 1993; Genoud 2017 dataset"

Rattus,fuscipes,bush rat,0.07724444,-1.1121327,70.18,ml O2/h,8.42,0.92539461,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Connolly and Cooper 2014; Genoud 2017 dataset"

Rattus,lutreolus,australian swamp rat,0.109,-0.9625735,63.2,ml O2/h,7.58,0.87989832,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Collins 1973; Genoud 2017 dataset"

Rattus,sordidus,canefield rat,0.187,-0.7281584,106.6,ml O2/h,12.79,1.10693845,o,land,yes,rodentia,"White and Seymour, 2003"

Rattus,villosissimus,long-haired rat,0.18917143,-0.7231445,109.621429,ml O2/h,13.15,1.11907671,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Collins and Bradshaw 1973; Genoud 2017 dataset"

Rattus,niobe,moss-forest rat,0.0423,-1.3736596,53.6,ml O2/h,6.432,0.80834604,o,land,yes,rodentia,Genoud (2014)

Rattus,rattus,rat,0.117,-0.9318141,137.5,ml O2/h,16.5,1.21748394,o,land,yes,rodentia,Hildwein (1972b)

Reithrodon,auritus,bunny rat,0.0787,-1.1040253,76.8,ml O2/h,9.22,0.96454247,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic 1992; Genoud 2017 dataset"

Reithrodontomys,megalotis,western harvest mouse,0.00799375,-2.0972494,20.88125,ml O2/h,2.51,0.39893774,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Thompson 1985; Genoud 2017 dataset"

Rhabdomys,pumilio,four-striped grass mouse,0.0396,-1.4023048,32.1,ml O2/h,3.85,0.58568628,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Rhinolophus,capensis,cape horseshoe bat,0.0119,-1.924453,7.14,ml O2/h,0.8568,-0.0671205,c,land,yes,chiroptera,Doty (2012)

Rhinolophus,clivosus,geoffroy's horseshoe bat,0.01683,-1.7739159,13.46,ml O2/h,1.6152,0.20822631,c,land,yes,chiroptera,Doty (2012)

Rhinonicteris,aurantia,orange leaf-nosed bat,0.00827,-2.0824945,16.4179104,ml O2/h,1.970149254,0.29449913,c,land,yes,chiroptera,"Khaliq et al. (2015); Baudinette et al., 2000; Genoud 2017 dataset"

Rhinophylla,fischerae,fischer's little fruit bat,0.0095,-2.0222764,16.2,ml O2/h,1.94,0.28869626,h,land,yes,chiroptera,"White and Seymour, 2003"

Rhinophylla,pumilio,dwarf little fruit bat,0.0095,-2.0222764,18.6,ml O2/h,2.23,0.34869419,h,land,yes,chiroptera,"White and Seymour, 2003; McNab 1969, 1989; Genoud 2017 dataset"

Rousettus,aegyptiacus,egyptian fruit bat,0.146,-0.8356471,122.6,ml O2/h,14.71,1.16767172,h,land,yes,chiroptera,"White and Seymour, 2003; Noll 1979; Genoud 2017 dataset"

Rousettus,amplexicaudatus,geoffroy's rousette,0.0915,-1.0385789,104.3,ml O2/h,12.52,1.09746555,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Saccopteryx,bilineata,greater sac-winged bat,0.008,-2.09691,14.4639,ml O2/h,1.74,0.23946666,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Genoud and Bonaccorso 1986; Genoud 2017 dataset"

Saccostomus,campestris,south african pouched mouse,0.07703333,-1.1133213,48.34,ml O2/h,5.8,0.76348789,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Mzilikazi and Lovegrove 2002; Genoud 2017 dataset"

Saguinus,geoffroyi,geoffroy's tamarin,0.225,-0.6478175,234,ml O2/h,28.08,1.4483971,o,land,yes,primates,"White and Seymour, 2003"

Saimiri,sciureus,common squirrel monkey,0.8625,-0.0642409,607.763,ml O2/h,72.93,1.8629155,o,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Sarcophilus,harrisii,tasmanian devil,5.4125,0.73339791,1369.7,ml O2/h,164.36,2.2158067,o,land,yes,dasyuromorphia,"White and Seymour, 2003; MacMillen and Nelson 1969; Genoud 2017 dataset"

Scalopus,aquaticus,eastern mole,0.048,-1.3187588,67.7,ml O2/h,8.12,0.90976991,o,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1979; Genoud 2017 dataset"

Scapanus,latimanus,broad-footed mole,0.061,-1.2146702,76.2,ml O2/h,9.14,0.96113622,o,land,yes,eulipotyphla,"White and Seymour, 2003; Contreras 1983; Genoud 2017 dataset"

Scapanus,orarius,coast mole,0.0612,-1.2132486,64.1,ml O2/h,7.69,0.88603928,o,land,yes,eulipotyphla,"White and Seymour, 2003; Kenagy and Vleck 1982; Genoud 2017 dataset"

Scapanus,townsendii,townsend's mole,0.1301,-0.8857227,108.9,ml O2/h,13.07,1.11620913,o,land,yes,eulipotyphla,"White and Seymour, 2003; Kenagy and Vleck 1982; Genoud 2017 dataset"

Sciurus,aberti,abert's squirrel,0.624,-0.2048154,430.6,ml O2/h,51.67,1.71325527,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sciurus,carolinensis,eastern gray squirrel,0.44,-0.3565473,369.6,ml O2/h,44.35,1.64691321,o,land,yes,rodentia,"White and Seymour, 2003"

Scotinomys,teguina,alston's brown mouse,0.012,-1.9208188,31.2,ml O2/h,3.74,0.57333584,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Scotinomys,xerampelinus,long-tailed singing mouse/chiriqui brown mouse,0.0152,-1.8181564,31.9,ml O2/h,3.83,0.58297193,c,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sekeetamys,calurus,bushy-tailed jird,0.0606375,-1.2172587,47.15,ml O2/h,5.66,0.75266294,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Haim and Borut 1986; Genoud 2017 dataset"

Setifer,setosus,greater hedgehog tenrec,0.17375,-0.7600752,59.3519231,ml O2/h,7.12,0.85261611,o,land,yes,afrosoricida,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Levesque and Lovegrove 2014; Genoud 2017 dataset"

Setonix,brachyurus,quokka,2.65971429,0.42483499,821.898,ml O2/h,98.62776,1.99399917,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Kinnear and Shield 1975; Genoud 2017 dataset"

Sicista,betulina,northern birch mouse,0.01,-2,32,ml O2/h,3.84,0.58433122,o,land,yes,rodentia,"White and Seymour, 2003"

Sigmodon,alleni,allen's cotton rat,0.1378,-0.8607508,203.3,ml O2/h,24.4,1.38731862,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sigmodon,fulviventer,tawny-bellied cotton rat,0.1378,-0.8607508,207.4,ml O2/h,24.89,1.39599,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sigmodon,hispidus,hispid cotton rat,0.15541154,-0.8085167,152.853846,ml O2/h,18.34,1.26345762,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Scheck 1982; Genoud 2017 dataset"

Sigmodon,leucotis,white-eared cotton rat,0.1286,-0.890759,186.5,ml O2/h,22.38,1.34986008,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sigmodon,ochrognathus,yellow-nosed cotton rat,0.1151,-0.9389247,154.2,ml O2/h,18.5,1.26726562,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sminthopsis,crassicaudata,fat-tailed dunnart,0.01757,-1.7552282,22.427,ml O2/h,2.69,0.42995243,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser and Baudinette 1987; Genoud 2017 dataset"

Sminthopsis,macroura,stripe-faced dunnart,0.02162143,-1.6651156,23.3914286,ml O2/h,2.81,0.44823799,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser and Baudinette 1987; Genoud 2017 dataset"

Sminthopsis,murina,slender-tailed dunnart,0.01595,-1.7972393,21.005,ml O2/h,2.52,0.40150393,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sminthopsis,ooldea,ooldea dunnart,0.0106,-1.9746941,18.9,ml O2/h,2.268,0.35564305,c,land,yes,dasyuromorphia,Tomlinson et al. (2012)

Sminthopsis,psammophila,sandhill dunnart,0.0436,-1.3605135,34.7,ml O2/h,4.164,0.61951072,c,land,yes,dasyuromorphia,Withers & Cooper (2009b)

Sorex,alpinus,alpine shrew,0.00788,-2.1034738,48.076,ml O2/h,5.77,0.76110957,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Sorex,araneus,eurasian shrew,0.00745,-2.1278437,62.42,ml O2/h,5.53,0.74270033,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Schmidt-Nielsen 1997; Ochocinska and Taylor 2005; Genoud 2017 dataset"

Sorex,cinereus,cinereus shrew,0.0035,-2.455932,28.934,ml O2/h,3.47,0.54058972,c,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Sorex,coronatus,crowned shrew,0.0091,-2.0409586,51.9,ml O2/h,6.23,0.7943486,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti and Genoud 1989; Genoud 2017 dataset"

Sorex,minutus,eurasian pygmy shrew,0.00345,-2.4621809,29.235,ml O2/h,3.51,0.54508434,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti and Genoud 1989; Genoud 2017 dataset"

Sorex,ornatus,ornate shrew,0.0097,-2.0132283,52.3,ml O2/h,6.28,0.79768293,c,land,yes,eulipotyphla,"White and Seymour, 2003"

Sorex,vagrans,vagrant shrew,0.0052,-2.2839967,28.1,ml O2/h,3.37,0.52788757,c,land,yes,eulipotyphla,"White and Seymour, 2003"

Sorex,palustris,american water shrew,0.0144,-1.8416375,70.65,ml O2/h,8.478,0.92829341,c,land,yes,eulipotyphla,Gustak et al. (2005)

Spalacopus,cyanus,coruro,0.14338462,-0.8434974,102.252308,ml O2/h,12.27,1.08885437,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Contreras 1986,1983; Genoud 2017 dataset"

Spalax,leucodon,lesser mole-rat,0.20435,-0.6896253,148.725,ml O2/h,17.846,1.25152872,o,land,yes,rodentia,"Lovegrove (2003); McNab 1966; Genoud 2017 dataset; White and Seymour, 2003"

Spalax,ehrenbergi,middle east blind mole-rat,0.122,-0.9136402,94.85,ml O2/h,11.382,1.05621858,h,land,yes,rodentia,Luna et al. (2017)

Spermophilus,citellus,european ground squirrel,0.24,-0.6197888,228,ml O2/h,27.36,1.43711609,o,land,yes,rodentia,"White and Seymour, 2003"

Spilocuscus,maculatus,common spotted cuscus,4.25,0.62838893,1045.91,ml O2/h,125.51,2.09867556,o,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Dawson and Degabriele 1973; Genoud 2017 dataset"

Spilogale,putorius,eastern spotted skunk,0.624,-0.2048154,273.47925,ml O2/h,32.82,1.51610563,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Knudsen 1979; Knudsen and Kilgore 1990; Genoud 2017 dataset"

Steatomys,pratensis,fat mouse,0.02917333,-1.5350139,33.2666667,ml O2/h,3.99,0.60119053,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Ellison 1995; Genoud 2017 dataset"

Stochomys,longicaudatus,target rat,0.08828,-1.0541377,101.58,ml O2/h,12.19,1.08598945,o,land,yes,rodentia,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Sturnira,erythromos,hairy yellow-shouldered bat,0.0159,-1.7986029,39.800995,ml O2/h,4.776119403,0.67907518,h,land,yes,chiroptera,"Khaliq et al. (2015); Soriano et al., 2002; Genoud 2017 dataset"

Sturnira,lilium,little yellow-shouldered bat,0.0219,-1.6595559,39.9834444,ml O2/h,4.8,0.68106145,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Sturnira,tildae,tilda's yellow-shouldered bat,0.0205,-1.6882461,39.9,ml O2/h,4.79,0.68015414,h,land,yes,chiroptera,"White and Seymour, 2003"

Suncus,etruscus,etruscan shrew,0.00222857,-2.6519734,8.09142857,ml O2/h,0.97,-0.0127935,c,land,yes,eulipotyphla,"White and Seymour, 2003; Frey 1980; Genoud 2017 dataset"

Suncus,murinus,asian house shrew,0.0302,-1.5199931,59.5,ml O2/h,7.14,0.85369821,o,land,yes,eulipotyphla,"White and Seymour, 2003"

Suricata,suricatta,meerkat,0.85,-0.0705811,310,ml O2/h,37.2,1.57054294,o,land,yes,carnivora,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Muller and Lojewski 1986; Genoud 2017 dataset"

Syconycteris,australis,common blossom bat,0.01641,-1.7848914,17.4912,ml O2/h,2.1,0.32200085,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso et al., 1992; Genoud 2017 dataset"

Sylvilagus,audubonii,desert cottontail,0.6724,-0.1723723,438,ml O2/h,52.56,1.72065536,h,land,yes,lagomorpha,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Sylvilagus,floridanus,eastern cottontail,0.981,-0.008331,557.2,ml O2/h,66.864,1.82519235,h,land,yes,lagomorpha,Lee (1940)

Tachyglossus,aculeatus,short-beaked echidna,2.815,0.4494784,419.77,ml O2/h,50.372,1.70218919,c,land,yes,monotremata,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Tachyoryctes,splendens,northeast african mole rat,0.191,-0.7189666,150.9,ml O2/h,18.11,1.25787049,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1966; Genoud 2017 dataset"

Tadarida,brasiliensis,mexican free-tailed bat,0.0169,-1.7721133,20.3,ml O2/h,2.44,0.38667728,c,land,yes,chiroptera,"White and Seymour, 2003"

Tamandua,mexicana,northern tamandua,3.977,0.59955559,992,ml O2/h,119.04,2.07569292,c,land,yes,pilosa,"White and Seymour, 2003"

Tamandua,tetradactyla,southern tamandua,3.5,0.54406804,886.5646,ml O2/h,106.39,2.02689163,c,land,yes,pilosa,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1984; Genoud 2017 dataset"

Tamias,alpinus,alpine chipmunk,0.039,-1.4089354,57.7,ml O2/h,6.92,0.84035706,o,land,yes,rodentia,"White and Seymour, 2003"

Tamias,amoenus,yellow-pine chipmunk,0.05446,-1.2639224,84.54,ml O2/h,10.14,1.00624349,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Kenagy and Vleck 1982; Genoud 2017 dataset"

Tamias,merriami,merriam's chipmunk,0.075,-1.1249387,78.8,ml O2/h,9.46,0.97570746,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Tamias,minimus,least chipmunk,0.0376,-1.4248122,58.4333333,ml O2/h,7.01,0.84584188,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Kenagy and Vleck 1982; Genoud 2017 dataset"

Tamias,palmeri,palmer's chipmunk,0.0694,-1.1586405,113.1,ml O2/h,13.57,1.13264385,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

